title,calories,price,price/unit,product_image
VINO CATALUÑA TORRES CORONAS TINTO 75 CL,,,"      7,93€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO PENEDES COMPTE OVELLES COL·LECCIÓ NEGRE 75 CL,,,"      7,00€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO TINTO LA BOSCANA  75 CL,,,"      9,72€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO TORRES SANGRE TORO TINTO 75 CL,,,"      6,52€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO TINTO COP DE MÀ D.O. TERRA ALTA 75 CL,,,"      5,00€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO NEGRO PERELADA JARDINS 2019 75 CL,,,"     73,20€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VI PRIORAT GR 174  75 CL,,,"     16,87€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO TINTO TERRA BAIXA D.O. CATALUNYA RESERVA 75 CL,,,"      5,99€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO CASTELLS D'ARTESA TINTO 75 CL,,,"      5,05€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO ELOQÜENT D.O. PENEDÉS MERLOT BARRICA 75 CL,,,"      6,65€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO EMPORDÀ TOCAT DE L'ALA TINTO 75 CL,,,"     14,65€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO CAP TRONS PENEDÉS 75 CL,,,"     10,60€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
CANELONES MAHESO CASEROS BECHAMEL 300 G,152 ,,"      7,63€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
LASAÑA CONDIS BOLOÑESA 500 G,164 ,,"      3,98€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
CANELONES MAHESO ESPINACAS-BECHAMEL 300 G,138 ,,"      6,83€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
CANELONES CONDIS CARNE 500 G,139 ,,"      4,30€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
CANELONES CANNELONIA CARNE SIN GLUTEN 350 G,24 ,,"     17,11€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
CANELONES MAHESO CARNE 1 KG,164 ,,"      5,09€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
LASAÑA MAHESO CASERA BECHAMEL 300 G,125 ,,"      7,63€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
LASAÑA LA COCINERA ESPINACAS/QUES 530 G,140 ,,"      8,58€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
LASAÑA LA COCINERA CHAMPIÑONES Y  BOLETUS 500 G,123 ,,"      8,58€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
CANELONES OLOT ARTESANOS DE CARNE 12 UNIDADES 720 G,217 ,,"      9,43€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
CANELONES LA COCINERA ATUN 500 G,,,"      8,58€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
CANELONES LA COCINERA CHAMPIÑONES Y BOLETUS 500 G,,,"      8,58€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
LASAÑA MAHESO BOLOÑESA SIN GLUTEN 525 G,106 ,,"      9,12€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
CANELONES LA COCINERA CARNE 500 G,,,"      8,58€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
LASAÑA LA COCINERA BOLOÑESA 500 G,,,"      8,58€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181033.jpg
BOLSAS CONDIS CONGELACIÓN MEDIANAS 30 UNIDADES,,,"      0,03€/Unidad",//static.condisline.com/resize_190x200/images/catalog/large/849004.jpg
BOLSA HIELO BUGY 40 CLASSIC 2 KG,,,"      0,45€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/849004.jpg
BOLSA ALBAL BOCADILLOS 50 UNIDADES,,,"      0,03€/Unidad",//static.condisline.com/resize_190x200/images/catalog/large/849004.jpg
BOLSA CONGELACIÓN ALBAL ZIPLOC 2 TAMAÑOS 20 UNIDADES,,,"      0,17€/Unidad",//static.condisline.com/resize_190x200/images/catalog/large/849004.jpg
BOLSA ALBAL ZIPPER MULTIUSOS 12 UNIDADES,,,"      0,21€/Unidad",//static.condisline.com/resize_190x200/images/catalog/large/849004.jpg
BOLSAS ALBAL CONGELACIÓN 3 TAMAÑOS 1 PAQUETE,,,"      0,10€/Unidad",//static.condisline.com/resize_190x200/images/catalog/large/849004.jpg
BOLSA HIELO BUGY 40 COCKTAIL 2 KG,,,"      0,50€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/849004.jpg
BOLSAS ALBAL CUBITOS 20 UNIDADES,,,"      0,10€/Unidad",//static.condisline.com/resize_190x200/images/catalog/large/849004.jpg
BOLSAS PINGUIN ISOTÉRMICAS 15 L,,,"      1,45€/Unidad",//static.condisline.com/resize_190x200/images/catalog/large/849004.jpg
SOLOMILLO ROYAL SALMÓN AHUMADO 50 G,209 ,,"     87,80€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/380043.jpg
SALMÓN CONDIS NORUEGO AHUMADO 100 G,205 ,,"     30,90€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/380043.jpg
SALMON ROYAL AHUMADO 150 G,,,"     51,27€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/380043.jpg
SALMON ROYAL AHUMADO 75 G,,,"     62,53€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/380043.jpg
SALMÓN ROYAL AHUMADO MARINADO 80 G,161 ,,"     65,63€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/380043.jpg
SALMÓN SKANDIA AHUMADO NORUEGO 100 G,,,"     48,50€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/380043.jpg
TARTAR ROYAL SALMÓN AHUMADO 110 G,206 ,,"     55,36€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/380043.jpg
ZUMO FRESCO DON SIMON NARANJA EXPRIMIDA 1 L,52 ,,"      2,20€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/533038.jpg
HABAS FINDUS BABY 400 G,69 ,,"     10,73€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
GUISANTES FINDUS FINOS CONGELADOS 800 G,,,"      3,61€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
GUISANTES FINDUS EXTRAFINOS 200 G,83 ,,"     10,95€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
GUISANTES CONDIS  1 KG,59 ,,"      1,35€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
BRÓCOLI FINDUS 360 G,35 ,,"      6,25€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
CEBOLLA FINDUS TROCEADA 250 G,43 ,,"      8,60€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
GUISANTES FINDUS FINOS 400 G,83 ,,"      4,98€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
ESPINACAS CONDIS CORTADAS 400 G,28 ,,"      1,68€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
GUISANTES FINDUS SUPERFINOS 550 G,83 ,,"      5,44€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
ALCACHOFA CONDIS TROCEADA 400 G,60 ,,"      4,23€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
JUDÍAS VERDES CONDIS TROCEADA-PLANA 1 KG,44 ,,"      1,35€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
ESPINACAS CONDIS HOJA BLOQUE 400 G,28 ,,"      1,68€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
JUDÍAS VERDES CONDIS REDONDA-TROZOS 1 KG,34 ,,"      1,29€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
ESPINACAS FINDUS TROZOS 400 G,29 ,,"      4,98€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
COLIFLOR FINDUS  400 G,34 ,,"      5,48€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
JUDÍAS FINDUS EXTRAFINAS 400 G,33 ,,"      7,48€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
JUDIAS FINDUS PLANAS CONGELADAS 800 G,33 ,,"      4,06€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
ESPINACAS FINDUS HOJAS 400 G,29 ,,"      4,98€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
EDAMAME SUSHI KING BOLSA 400 G,,,"      4,98€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
GOURMET FINDUS AL VAPOR 350 G,48 ,,"      7,40€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
HABAS CONDIS  400 G,91 ,,"      2,48€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
ACELGAS FINDUS HOJAS 400 G,21 ,,"      5,48€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
JUDIAS FINDUS VERDE TROZOS 800 G,,,"      4,06€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
SELECCIÓN FINDUS SETAS ENTERAS 300 G,31 ,,"     11,97€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/180303.jpg
VIEIRA FRISA PREMIUM CONGELADA 1 UNIDAD,,,"     15,00€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
LANGOSTINO AUSTRAL HORNEABLE 480 G,,,"     16,56€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
LANGOSTINOS PESCANOVA CONGELADOS 180 G,,,"     27,17€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
LANGOSTINO PESCANOVA PELADO CONGELADO 180 G,,,"     22,17€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
GAMBAS CONDIS PELADAS 160 G,57 ,,"     15,00€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
COLA SIN PIEL NATURAL SEA GAMBÓN 210 G,,,"     22,81€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
MEJILLÓN CONGELADO COCIDO JUGOSONES 400 G,,,"      6,23€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
LANGOSTINO PUERTO DE PALOS COCIDO 400 G,,,"     16,23€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
GAMBÓN PESCANOVA 14-22 PIEZAS 800 G,,,"     14,94€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
COLA DE GAMBON CONGELADO S/P 500 G,,,"     21,90€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
ANGURIÑAS PESCANOVA  200 G,188 ,,"      9,95€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
GAMBA PUERTO DE PALOS COCIDA 400 G,,,"     26,48€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
GAMBA PELADA 10/30 CONGELADA 650 G,,,"     19,98€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
COLA GAMBA FRIUSA CONGELADA 1 KG,,,"     14,65€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
GAMBÓN MAREMUNDI CONGELADO 800 G,,,"     14,94€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
CIGALA Nº2 CONGELADA CAJA 1 KG,,,"     22,95€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
GAMBA LANGOSTINERA N.3 30/40 CONGELADA 2 KGS,,,"     11,95€/Kg",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
GAMBA ROJA MEDIANA CAJA 1 KG,,,"     34,99€/Kg",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
LANGOSTINO NUEVA BOCANA COCIDO 30/40 800 G,,,"     14,99€/Kilo PNE",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
BOCA DE BUEY COCIDA CONG. 1KG,,,"     34,95€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
CIGALA Nº1 CONGELADA CAJA 1 KG,,,"     27,95€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
GAMBA LANGOSTINERA N.2 20/30 CONGELADA 2 KGS,,,"     13,95€/Kg",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
CIGALA 11/15 1 KG,,,"     32,95€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/182652.jpg
ANCHOAS DE L'ESCALA ACEITE DE OLIVA BOTE 90 G,223 ,,"     85,44€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/535066.jpg
ANCHOAS CONDIS ACEITE OLIVA 30 G,242 ,,"     69,67€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/535066.jpg
